retention,area
22.335,51626
22.343,41953
22.35,27829
22.357,30777
22.365,36663
22.372,30987
22.379,25457
22.387,24512
22.394,22707
22.401,26134
22.409,25073
22.416,20671
22.423,23878
22.431,23502
22.438,20746
22.445,18263
22.453,22395
22.46,18138
22.467,20849
22.475,22406
22.482,20220
22.489,30592
22.497,26610
22.504,23777
22.511,23392
22.518,22323
22.526,24864
22.533,27889
22.54,31824
22.548,30604
22.555,34671
22.562,28902
22.57,27089
22.577,28338
22.584,24300
22.592,17418
22.599,15750
22.606,15397
22.614,16019
22.621,16369
22.628,14195
22.636,14950
22.643,14554
22.65,13737
22.658,16425
22.665,17100
22.672,17076
22.68,18884
